course_title,department,department_full,all_departments,course_number,level,description,classification,sdgs,syllabus_url,semester
Air Pollution Control and Technology,AGSM,Bioloigcal and Agricultural Engineering,AGSM,477,Undergraduate,"Successful completion of this class should enable students to operate their agricultural or industrial facilities in compliance with applicable environmental regulations. U.S. and European practices will be compared. Introduce students to the Clean Air Act, National Ambient air quality standards, New Source Performance standards and the permitting process. Students should gain an understanding of pollution emissions and state of the art control equipment and best operating practices.",Focused,"3,11,13",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=35287,Summer 2025
The World has a Drinking Problem: Global Water Scarcity,AGSM,Bioloigcal and Agricultural Engineering,AGSM,105,Undergraduate,"Lecture and group learning activities result in developing informed opinions and facilitate study of how drinking water maintains and improves human health, availability of fresh water throughout the world; population changes, cultural influences, and political power affect quality, distribution, and cost of water for children, rural communities, and under-represented peoples.",Focused,6,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=60037,Summer 2025
Air Pollution Engineering,BAEN,Bioloigcal and Agricultural Engineering,BAEN,477,Undergraduate,"Successful completion of this class should enable students to design and permit air pollution abatement systems, to include cyclones, bag filters and scrubbers, in compliance with applicable environmental regulations. U.S. and European practices will be compared. Introduce students to the Clean Air Act, National Ambient air quality standards, New Source Performance standards and the permitting process. Students should gain an understanding of pollution emissions and state of the art control equipment and best operating practices.",Focused,13,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202611&crn=41443,Summer 2025
Introduction to Bioenvironmental Sciences,BESC,Bioenvironmental Sciences,BESC,201,Undergraduate,"Introduction to Bioenvironmental Sciences (3cr) provides students with a broad survey of environmental science with an emphasis on scientific literacy, current events, global and international issues, and historic context.",Focused,"13,15",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=26627,Summer 2025
Water Resources Engineering,CVEN 339,Civil and Environmental Engineering,CVEN 339/EVEN,339,Undergraduate,"This course is the gateway to solving many of the problems relating to water that civil engineers take on. These problems include flooding, droughts, water supply and distribution, fire protection, pollution control, etc. We will build on your knowledge of fluid mechanics and add some new theory on the subject that will lead us into basic design issues. We will also begin studying “hydrology,” which is probably new to many of you as a formal study, but you’ve been exposed to it all your lives.",Focused,"6,9",,Summer 2025
Water Resources Engineering,EVEN,Civil and Environmental Engineering,CVEN 339/EVEN,339,Undergraduate,"This course is the gateway to solving many of the problems relating to water that civil engineers take on. These problems include flooding, droughts, water supply and distribution, fire protection, pollution control, etc. We will build on your knowledge of fluid mechanics and add some new theory on the subject that will lead us into basic design issues. We will also begin studying “hydrology,” which is probably new to many of you as a formal study, but you’ve been exposed to it all your lives.",Focused,"6,9",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202611&crn=60111,Summer 2025
Forest Ecology,ECCB,Ecology and Conservation  Biology,ECCB,309,Undergraduate,"Forest Ecology discusses the fundamental interactions between organisms with one another and with their environment, and the processes that tie them together into an ecosystem, using forests as an example. You will learn the significance of the feedback between organisms’ individual life history, structure, and function with their environment, succession, food webs, and biogeochemical cycling. We will discuss how the fundamental principles governing organismal growth and interactions with their environment are used in present-day forest management, resource conservation, and climate mitigation efforts.",Focused,"13,15",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=61445,Summer 2025
Fundamentals of Ecology,ECCB,Ecology and Conservation  Biology,ECCB,205,Undergraduate,"Principles of ecology using a holistic approach treating plants, animals, and humans as one integrated whole; composition, structure, nutrient cycles and energetics of biotic communities; adaptions to environmental factors; biotic relationships; and problems of environmental quality and resource use.",Focused,"13,15",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=59595,Summer 2025
Engineering Lab I: Computation,ENGR,Multidisciplinary Engineering,ENGR,102,Undergraduate,"Introduction to the design and development of computer applications for engineers; computation to enhance problem-solving abilities; basic concepts of software design through the implementation and debugging of student-written programs; introduction to engineering majors, career exploration, engineering practice within realistic constraints, e.g. economic, environmental, ethical, health and safety, and sustainability; pathways to success in engineering.",Focused,"8,9",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=63821,Summer 2025
Insects in the Tropics,ENTO,Entomology,ENTO,455,Undergraduate,"A field-based course conducted in Costa Rica at the Texas A&M Soltis Center for Research and Education that examines the diversity, behavior, and natural history of tropical insects. Emphasis is placed on collecting insects, specimen preparation and identification, behavioral observation, and experimental research, along with the development of skills in field note-keeping, teamwork, and scientific communication. The course provides direct experience with tropical ecosystems and addresses the challenges associated with studying and conserving biodiversity.",Focused,15,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=35559,Summer 2025
Insects in Human Society,ENTO,Entomology,ENTO,322,Undergraduate,"This is an introductory, core-curriculum course for non-entomology majors emphasizing the roles insects have played in the development of human society. This includes roles in human health, food production and storage, art, music and architecture. The historic, present day and future roles that insects will have on sustainability in underdeveloped, developing and developed societies will be discussed.",Focused,15,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=19138,Summer 2025
Honey Bee Biology,ENTO,Entomology,ENTO,320,Undergraduate,"Introductory course on honey bee biology, evolution, management, and preservation. ENTO 320 uses honey bees as a model organism to learn about the scientific process, as well as basic and applied concepts in biology, entomology, sociobiology, and the evolution of communication.",Focused,15,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=19888,Summer 2025
